case_id,predictive_rank,true_class,predicted_class,metric_source,count
inception_full__l0_legacy64_w15_fixed10,1,0,0,participant_oof_pooled_repeats,4.0
inception_full__l0_legacy64_w15_fixed10,1,0,1,participant_oof_pooled_repeats,3.0
inception_full__l0_legacy64_w15_fixed10,1,0,2,participant_oof_pooled_repeats,2.0
inception_full__l0_legacy64_w15_fixed10,1,1,0,participant_oof_pooled_repeats,3.0
inception_full__l0_legacy64_w15_fixed10,1,1,1,participant_oof_pooled_repeats,8.0
inception_full__l0_legacy64_w15_fixed10,1,1,2,participant_oof_pooled_repeats,1.0
inception_full__l0_legacy64_w15_fixed10,1,2,0,participant_oof_pooled_repeats,0.0
inception_full__l0_legacy64_w15_fixed10,1,2,1,participant_oof_pooled_repeats,3.0
inception_full__l0_legacy64_w15_fixed10,1,2,2,participant_oof_pooled_repeats,5.0
compact_cnn__l7_v2_training_bundle_fixed10,3,0,0,participant_oof_pooled_repeats,6.0
compact_cnn__l7_v2_training_bundle_fixed10,3,0,1,participant_oof_pooled_repeats,2.0
compact_cnn__l7_v2_training_bundle_fixed10,3,0,2,participant_oof_pooled_repeats,1.0
compact_cnn__l7_v2_training_bundle_fixed10,3,1,0,participant_oof_pooled_repeats,6.0
compact_cnn__l7_v2_training_bundle_fixed10,3,1,1,participant_oof_pooled_repeats,4.0
compact_cnn__l7_v2_training_bundle_fixed10,3,1,2,participant_oof_pooled_repeats,2.0
compact_cnn__l7_v2_training_bundle_fixed10,3,2,0,participant_oof_pooled_repeats,2.0
compact_cnn__l7_v2_training_bundle_fixed10,3,2,1,participant_oof_pooled_repeats,2.0
compact_cnn__l7_v2_training_bundle_fixed10,3,2,2,participant_oof_pooled_repeats,4.0
compact_cnn__l5_uniform_replacement_fixed10,8,0,0,participant_oof_pooled_repeats,2.0
compact_cnn__l5_uniform_replacement_fixed10,8,0,1,participant_oof_pooled_repeats,4.0
compact_cnn__l5_uniform_replacement_fixed10,8,0,2,participant_oof_pooled_repeats,3.0
compact_cnn__l5_uniform_replacement_fixed10,8,1,0,participant_oof_pooled_repeats,3.0
compact_cnn__l5_uniform_replacement_fixed10,8,1,1,participant_oof_pooled_repeats,5.0
compact_cnn__l5_uniform_replacement_fixed10,8,1,2,participant_oof_pooled_repeats,4.0
compact_cnn__l5_uniform_replacement_fixed10,8,2,0,participant_oof_pooled_repeats,1.0
compact_cnn__l5_uniform_replacement_fixed10,8,2,1,participant_oof_pooled_repeats,3.0
compact_cnn__l5_uniform_replacement_fixed10,8,2,2,participant_oof_pooled_repeats,4.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,0,0,participant_oof_pooled_repeats,4.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,0,1,participant_oof_pooled_repeats,4.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,0,2,participant_oof_pooled_repeats,1.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,1,0,participant_oof_pooled_repeats,5.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,1,1,participant_oof_pooled_repeats,5.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,1,2,participant_oof_pooled_repeats,2.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,2,0,participant_oof_pooled_repeats,1.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,2,1,participant_oof_pooled_repeats,2.0
compact_cnn__l6_v2_line_b_balance_fixed10,4,2,2,participant_oof_pooled_repeats,5.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,0,0,participant_oof_pooled_repeats,3.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,0,1,participant_oof_pooled_repeats,4.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,0,2,participant_oof_pooled_repeats,2.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,1,0,participant_oof_pooled_repeats,7.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,1,1,participant_oof_pooled_repeats,5.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,1,2,participant_oof_pooled_repeats,0.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,2,0,participant_oof_pooled_repeats,2.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,2,1,participant_oof_pooled_repeats,5.0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,9,2,2,participant_oof_pooled_repeats,1.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,0,0,participant_oof_pooled_repeats,4.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,0,1,participant_oof_pooled_repeats,5.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,0,2,participant_oof_pooled_repeats,0.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,1,0,participant_oof_pooled_repeats,6.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,1,1,participant_oof_pooled_repeats,6.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,1,2,participant_oof_pooled_repeats,0.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,2,0,participant_oof_pooled_repeats,3.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,2,1,participant_oof_pooled_repeats,3.0
compact_cnn__l3_v2_imu_window_scaled_fixed10,7,2,2,participant_oof_pooled_repeats,2.0
compact_cnn__l2_legacy400_w5_fixed10,2,0,0,participant_oof_pooled_repeats,5.0
compact_cnn__l2_legacy400_w5_fixed10,2,0,1,participant_oof_pooled_repeats,3.0
compact_cnn__l2_legacy400_w5_fixed10,2,0,2,participant_oof_pooled_repeats,1.0
compact_cnn__l2_legacy400_w5_fixed10,2,1,0,participant_oof_pooled_repeats,3.0
compact_cnn__l2_legacy400_w5_fixed10,2,1,1,participant_oof_pooled_repeats,8.0
compact_cnn__l2_legacy400_w5_fixed10,2,1,2,participant_oof_pooled_repeats,1.0
compact_cnn__l2_legacy400_w5_fixed10,2,2,0,participant_oof_pooled_repeats,0.0
compact_cnn__l2_legacy400_w5_fixed10,2,2,1,participant_oof_pooled_repeats,5.0
compact_cnn__l2_legacy400_w5_fixed10,2,2,2,participant_oof_pooled_repeats,3.0
compact_cnn__l1_legacy64_w5_fixed10,5,0,0,participant_oof_pooled_repeats,3.0
compact_cnn__l1_legacy64_w5_fixed10,5,0,1,participant_oof_pooled_repeats,5.0
compact_cnn__l1_legacy64_w5_fixed10,5,0,2,participant_oof_pooled_repeats,1.0
compact_cnn__l1_legacy64_w5_fixed10,5,1,0,participant_oof_pooled_repeats,3.0
compact_cnn__l1_legacy64_w5_fixed10,5,1,1,participant_oof_pooled_repeats,8.0
compact_cnn__l1_legacy64_w5_fixed10,5,1,2,participant_oof_pooled_repeats,1.0
compact_cnn__l1_legacy64_w5_fixed10,5,2,0,participant_oof_pooled_repeats,1.0
compact_cnn__l1_legacy64_w5_fixed10,5,2,1,participant_oof_pooled_repeats,4.0
compact_cnn__l1_legacy64_w5_fixed10,5,2,2,participant_oof_pooled_repeats,3.0
compact_cnn__l0_legacy64_w15_fixed10,6,0,0,participant_oof_pooled_repeats,4.0
