overfit_rank,overfit_config_id,overfit_stage,reference_source,reference_source_config_id,model,resolved_model,cnn_epochs,stage1_regularization_value,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,sqi_mode,aggregation,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_macro_f1_mean,subject_macro_f1_std,worst_class_recall_mean,worst_class_f1_mean,train_val_balanced_accuracy_gap_mean,best_epoch_train_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_mean,n_train_samples_per_epoch_mean,duration_sec_mean
1,ref_20260625_top1_s1_122,fixed_reference,20260625,s1_122,inceptiontime,inception_time,15,s1_122,0.005,0.5,0.2,top50_quality,quality_weighted_mean,none,all,50.0,0.6231481481481481,0.013733700902029,0.6060982399666174,0.6146290038463952,0.0046532527831563,0.4833333333333334,0.5209523809523808,0.4609221462994671,0.9951010069812812,0.5341788606818141,31328.0,433.6017176853493
2,ref_20260625_top2_s1_102,fixed_reference,20260625,s1_102,inceptiontime,inception_time,15,s1_102,0.005,0.5,0.2,top50_quality,mean_prob,none,all,50.0,0.6175925925925926,0.0309874083901509,0.5791228114604279,0.6080746539322391,0.0326828282937911,0.4833333333333333,0.5293557422969188,0.4643579041014202,0.9950455981550748,0.5306876940536543,31328.0,433.0451941174921
3,gen_212,generalization,,,small_inceptiontime,small_inception_time,15,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,top50_quality,mean_prob,none,all,30.0,0.5814814814814815,0.0557096628018197,0.5123198882320803,0.5702389702847369,0.0601032329994144,0.4166666666666667,0.4785964912280701,0.4604845057182803,0.9672835451914852,0.5067990394732049,22632.0,94.57035294836388
4,gen_080,generalization,,,inceptiontime,inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,class_subject_balanced,50%,30.0,0.5805555555555555,0.0371237411050545,0.5344677324908647,0.5693044657341333,0.0364271780954787,0.425,0.4761378490790256,0.4914542495797296,0.9808605706874848,0.4894063211077549,14111.8,216.17194794584063
5,gen_030,generalization,,,inceptiontime,inception_time,10,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,none,mean_prob,none,all,30.0,0.576851851851852,0.0574148740663981,0.5055732986002944,0.5603147832559597,0.0735641276223086,0.3888888888888889,0.4601120448179271,0.475327657663663,0.9885865554907814,0.5132588978271186,45180.0,371.34983937921936
6,gen_066,generalization,,,inceptiontime,inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,none,mean_prob,class_subject_balanced,50%,30.0,0.5768518518518518,0.0889081769196874,0.4664754672282428,0.5606342332878879,0.1142831787132696,0.4527777777777778,0.477,0.4700327135963859,0.9882750780811412,0.518242364484755,28078.4,367.0191007771529
7,gen_074,generalization,,,inceptiontime,inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,subject_balanced,50%,30.0,0.5759259259259258,0.1059568395708925,0.4443842243280703,0.5584704512320611,0.111452322814776,0.35,0.400061919504644,0.4797634759717775,0.982216281716126,0.5024528057443485,11364.0,186.3061547177844
8,gen_136,generalization,,,small_inceptiontime,small_inception_time,10,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,class_subject_balanced,50%,30.0,0.5666666666666667,0.0810912372067086,0.4659947386434748,0.5559574136347591,0.0874853633551237,0.3916666666666666,0.4363553113553114,0.4320778704687814,0.9271686898488858,0.4950908193801041,14111.8,46.72841821503825
9,gen_044,generalization,,,inceptiontime,inception_time,10,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,top50_quality,mean_prob,none,all,30.0,0.5666666666666667,0.0773716247261048,0.4706125071326516,0.5549254899241439,0.0705495224527732,0.436111111111111,0.4895854833161334,0.4788304069827635,0.98305135687629,0.5042209498935263,22632.0,208.95812881859015
10,gen_093,generalization,,,inceptiontime,inception_time,15,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,none,mean_prob,class_subject_balanced,50%,0.0,0.5666666666666667,0.0754785827960843,0.4729626523208193,0.5354932762455982,0.1045080387718743,0.325,0.383641456582633,0.45428392701533,0.9801883671544196,0.5259044401390894,19735.0,276.6156888670754
