model_id,evaluation,level,metric,participant_macro_mean_sd,participant_bootstrap_ci95,holm_p_vs_reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,Balanced accuracy,78.4 ± 14.0,"[72.7, 84.1]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,Macro-F1,70.5 ± 20.4,"[61.7, 78.8]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,Sensitivity,56.8 ± 28.0,"[45.5, 68.2]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,Specificity,100.0 ± 0.0,"[100.0, 100.0]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,ROC-AUC,100.0 ± 0.0,"[100.0, 100.0]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,PR-AUC,100.0 ± 0.0,"[100.0, 100.0]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,Balanced accuracy,79.5 ± 11.7,"[74.6, 84.2]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,Macro-F1,72.0 ± 16.7,"[64.9, 78.6]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,Sensitivity,58.9 ± 23.5,"[49.1, 68.4]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,Specificity,100.0 ± 0.0,"[100.0, 100.0]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,ROC-AUC,99.8 ± 0.6,"[99.5, 100.0]",N/A
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,PR-AUC,99.9 ± 0.4,"[99.7, 100.0]",N/A
